,S000,S001,S003,S006,S007,S008,S009,S010,S011,S012,S013,S014,S017,S018,S019,S020,S021,S022,S026,S027,S029,S030,S031,S032,S033,S034,S035,S036,S040,S041,S043,S044,S045,S046,S047,S048,S049,S050,S052,S053,S055,S056,MRAM
22,182146,127233,375494,124246,62948,87593,37187,43259,355233,253928,80348,20380,83887,5969,31843,535664,240229,82872,208151,47472,138700,122417,37180,102308,57519,53540,119084,730288,24764,51779,126850,103160,95675,51119,45919,63235,32323,12752,133694,468892,34600,23087,0.3602989801031132
23,181906,93805,416340,185919,56941,90471,27577,38305,399213,334798,42874,21244,74503,2943,16241,586644,184619,61860,194838,46038,127322,114779,39737,89526,48986,47117,90343,668463,20011,50515,96170,85454,87350,49843,44332,60205,30014,16693,88661,532877,5633,22361,0.3697099877294605
24,207051,62582,362177,113575,63006,75238,31937,61808,345564,291402,34041,19442,96992,5899,33476,502464,269475,46334,167911,40038,152023,123395,50008,77745,41930,46467,100226,676876,10154,47109,79118,83187,99177,52809,52059,71383,32853,14964,30007,614350,3252,7446,0.37
25,221131,89357,371334,117931,62642,101346,29309,40898,352126,296273,38162,17447,91159,6067,35154,477522,268310,87494,162487,38379,173202,123913,52602,111446,70795,71179,111006,675144,47697,42588,83205,86609,103359,54698,56881,112370,66199,29925,142084,568659,1948,15050,0.3705612083291275
26,179276,65888,285235,93794,54297,56363,26649,34811,265914,204195,50123,11293,91868,6009,36169,402130,270713,31658,133249,29059,174676,80288,30320,55529,39198,47719,109925,605250,7452,33980,74249,73850,88064,47106,46078,68148,31629,12329,11974,561513,1981,4764,0.3729257772870421
27,148126,77667,343080,103992,55190,88350,24371,50131,322034,256419,47226,18170,63392,7608,15734,438158,257499,58174,194424,68304,91287,100777,42990,138477,69753,26047,64812,472407,149970,46464,105313,91459,98129,54823,43268,61868,31924,13545,250646,206899,2139,230320,0.3805164859417002
28,136406,105005,371099,83937,93252,85930,31734,44537,339390,276458,37841,24224,69694,10165,72085,333532,284740,155482,163586,44275,162043,85078,52874,81860,43716,19643,78646,305116,238537,46122,94097,104165,116326,47970,43271,78556,47141,20712,580988,144195,1185,7648,0.3894424642609553
29,172665,90900,354457,98282,62967,77852,47262,49657,336020,273622,37242,24638,75659,3166,32738,420845,255247,138545,216566,61745,124285,126033,43648,94429,47756,40436,85095,655645,46508,57783,107266,100242,106480,48496,41334,59222,24608,6914,171225,381956,2444,37194,0.39
30,184914,92687,391026,135349,60405,92429,28198,55169,371550,323645,34929,12242,63333,4254,28874,533978,209640,51172,166512,44416,146815,119542,49475,68519,45767,55366,107106,669296,9452,44440,92351,83647,92330,48299,47011,65284,31817,16396,23528,526394,1006,10331,0.3905197810960272
31,160692,79939,346949,128247,66583,79623,27290,25090,326833,242468,65522,18638,88807,8085,44236,406778,318844,50655,182592,47780,128151,101620,37772,58516,35405,45474,109501,598042,29745,51249,88154,79592,78534,44404,42545,64503,35631,14152,379919,253667,32171,4834,0.39497888512877694
