NY-20,0,0
NY-21,0,0
NY-22,2.5,0.525
NY-23,0,0
NY-24,-14.6,0.354
NY-25,24.6,0.746
NY-26,0,0
NY-27,0,0
NC-01,0,0
NC-02,1.5,0.515
NC-03,0,0
NC-04,0,0
NC-05,0,0
NC-06,0,0
NC-07,0.6,0.506
NC-08,0,0
NC-09,8.1,0.581
NC-10,0,0
NC-11,0,0
NC-12,0,0
NC-13,1.6,0.516
ND-01,-12.4,0.376
OH-01,-2.1,0.479
OH-02,0,0
OH-03,0,0
OH-04,0,0
OH-05,0,0
OH-06,0,0
OH-07,0,0
OH-08,0,0
OH-09,0,0
OH-10,0,0
OH-11,0,0
OH-12,-3,0.47
OH-13,0,0
OH-14,0,0
OH-15,0,0
OH-16,0,0
OK-01,0,0
OK-02,0,0
OK-03,0,0
OK-04,0,0
OK-05,-9.7,0.403
OR-01,0,0
OR-02,0,0
OR-03,0,0
OR-04,0,0
OR-05,0,0
PA-01,-0.4,0.496
PA-02,0,0
PA-03,0,0
PA-04,0,0
PA-05,0,0
PA-06,0,0
PA-07,7.8,0.578
PA-08,0,0
PA-09,0,0
PA-10,-4.6,0.454
PA-11,0,0
PA-12,0,0
PA-13,0,0
PA-14,0,0
PA-15,0,0
PA-16,-8.7,0.413
PA-17,13.5,0.635
PA-18,0,0
RI-01,0,0
RI-02,0,0
SC-01,-8.7,0.413
SC-02,0,0
SC-03,0,0
SC-04,0,0
SC-05,0,0
SC-06,0,0
SC-07,0,0
SD-01,-16.3,0.337
TN-01,0,0
TN-02,0,0
TN-03,0,0
TN-04,0,0
TN-05,0,0
TN-06,0,0
TN-07,0,0
TN-08,0,0
TN-09,0,0
TX-01,0,0
TX-02,0,0
TX-03,0,0
TX-04,0,0
TX-05,0,0
TX-06,-10.2,0.398
TX-07,-3.3,0.467
TX-08,0,0
TX-09,0,0
TX-10,0,0
TX-11,0,0
TX-12,0,0
TX-13,0,0
TX-14,0,0
TX-15,0,0
TX-16,0,0
TX-17,0,0
TX-18,0,0
TX-19,0,0
TX-20,0,0
TX-21,-5,0.45
TX-22,0,0
TX-23,-7.8,0.422
TX-24,0,0
TX-25,0,0
TX-26,0,0
TX-27,0,0
TX-28,0,0
TX-29,0,0
TX-30,0,0
TX-31,-8.2,0.418
TX-32,-2.5,0.475
TX-33,0,0
TX-34,0,0
TX-35,0,0
TX-36,0,0
UT-01,-33.8,0.162
UT-02,-10.8,0.392
UT-03,-30.4,0.196
UT-04,-4.9,0.451
VT-01,0,0
VA-01,0,0
VA-02,3.9,0.539
VA-03,0,0
VA-04,0,0
VA-05,0,0
VA-06,0,0
VA-07,-3.7,0.463
VA-08,0,0
VA-09,-9.9,0.401
VA-10,9.7,0.597
VA-11,0,0
WA-01,0,0
WA-02,0,0
WA-03,-7.8,0.422
WA-04,0,0
WA-05,-3.5,0.465
WA-06,0,0
WA-07,0,0
WA-08,-6.8,0.432
WA-09,0,0
WA-10,0,0
WV-01,-30.8,0.192
WV-02,-9.8,0.402
WV-03,0.6,0.506
WI-01,6.1,0.561
WI-02,0,0
WI-03,0,0
WI-04,0,0
WI-05,0,0
WI-06,0,0
WI-07,0,0
WI-08,0,0
WY-01,0,0
